titulo;precio;ano;kilometraje;cilindrada;url;precio_num;cilindrada_cc;km;rango_cc;rango_km
Se vende Lifan KPT200, 2021, 11.000 Km;$1.950.000;2021.0;11000.0;200.0;https://www.chilemotos.com/moto/66941/;1950000.0;200.0;11000.0;0-200cc;10k-30k
Venta moto Lifan KPT200;$1.950.000;2021.0;11000.0;200.0;https://www.chilemotos.com/moto/66936/;1950000.0;200.0;11000.0;0-200cc;10k-30k
Venta moto Lifan KPT200;$1.950.000;2021.0;11000.0;200.0;https://www.chilemotos.com/moto/66932/;1950000.0;200.0;11000.0;0-200cc;10k-30k
Vendo moto;$4.500.000;2022.0;31122.0;648.0;https://www.chilemotos.com/moto/66918/;4500000.0;648.0;31122.0;501-1000cc;30k-50k
Yamaha Tenere – año 2023 / full equipada, único dueño;$10.300.000;2023.0;62000.0;700.0;https://www.chilemotos.com/moto/66899/;10300000.0;700.0;62000.0;501-1000cc;50k+
Yamaha Ténéré 700 – Año 2023;$10.300.000;2023.0;62000.0;700.0;https://www.chilemotos.com/moto/66896/;10300000.0;700.0;62000.0;501-1000cc;50k+
Yamaha Ténéré 700 – Año 2023;$9.990.000;2023.0;62000.0;700.0;https://www.chilemotos.com/moto/66888/;9990000.0;700.0;62000.0;501-1000cc;50k+
Yamaha Ténéré 700 – Año 2023;$9.990.000;2021.0;61999.0;699.0;https://www.chilemotos.com/moto/66885/;9990000.0;699.0;61999.0;501-1000cc;50k+
Yamaha Fz16 – 153cc;$1.550.000;2018.0;14600.0;153.0;https://www.chilemotos.com/moto/66870/;1550000.0;153.0;14600.0;0-200cc;10k-30k
Yamaha XTZ;$1.600;2024.0;8391.0;125.0;https://www.chilemotos.com/moto/66849/;1600000.0;125.0;8391.0;0-200cc;0-10k
Triumph Tiger 800xc 2015;$6.600.000;2015.0;38000.0;800.0;https://www.chilemotos.com/moto/66837/;6600000.0;800.0;38000.0;501-1000cc;30k-50k
GS 1200 Adventure Triple Black;$15.500.000;2017.0;48299.0;1.2;https://www.chilemotos.com/moto/66826/;15500000.0;1200.0;48299.0;1000cc+;30k-50k
Suzuki RMZ 250;$2.500.000;2013.0;60.0;250.0;https://www.chilemotos.com/moto/66817/;2500000.0;250.0;60.0;201-500cc;0-10k
Honda XRE 300;$3.900.000;2022.0;15000.0;300.0;https://www.chilemotos.com/moto/66808/;3900000.0;300.0;15000.0;201-500cc;10k-30k
GS 1200 Adventure;$15.500.000;2017.0;47600.0;1.2;https://www.chilemotos.com/moto/66794/;15500000.0;1200.0;47600.0;1000cc+;30k-50k
Vendo moto honda elite con poco uso unica dueña;$600.000;2012.0;5136.0;125.0;https://www.chilemotos.com/moto/66757/;600000.0;125.0;5136.0;0-200cc;0-10k
vendo moto con poco km unica dueña;$600;2013.0;6.0;125.0;https://www.chilemotos.com/moto/66755/;600000.0;125.0;6.0;0-200cc;0-10k
2024 BMW F 750 GS I New;$9.500.000;2024.0;15000.0;850.0;https://www.chilemotos.com/moto/66750/;9500000.0;850.0;15000.0;501-1000cc;10k-30k
Lifan KPT200;$1.200.000;2023.0;14500.0;200.0;https://www.chilemotos.com/moto/66693/;1200000.0;200.0;14500.0;0-200cc;10k-30k
Dominar 400ug 2022;$2.900.000;2022.0;20000.0;400.0;https://www.chilemotos.com/moto/66658/;2900000.0;400.0;20000.0;201-500cc;10k-30k
MOTORRAD TTX150 – AÑO 2022;$850;2022.0;11700.0;150.0;https://www.chilemotos.com/moto/66631/;850000.0;150.0;11700.0;0-200cc;10k-30k
Royal Enfield Hunter 350 2024;$2.950.000;2024.0;4600.0;350.0;https://www.chilemotos.com/moto/66616/;2950000.0;350.0;4600.0;201-500cc;0-10k
moto bajaj pulsar ns 200;$2.300.000;2023.0;10002.0;201.0;https://www.chilemotos.com/moto/66552/;2300000.0;201.0;10002.0;201-500cc;10k-30k
Por cambio de cilindrada;$3.200.000;2020.0;38000.0;400.0;https://www.chilemotos.com/moto/66547/;3200000.0;400.0;38000.0;201-500cc;30k-50k
Bajaj Dominar 400 2024 Potencia, estilo y confort premium Color Burdeo;$3.100.000;2024.0;15996.0;400.0;https://www.chilemotos.com/moto/66534/;3100000.0;400.0;15996.0;201-500cc;10k-30k
Vendo moto Bajaj Pulsar 160 2025;$2.350.000;2025.0;5.0;160.0;https://www.chilemotos.com/moto/66513/;2350000.0;160.0;5.0;0-200cc;0-10k
VENDO MOTO ZONGSHEN RX1;$1.680.000;2021.0;10898.0;200.0;https://www.chilemotos.com/moto/66477/;1680000.0;200.0;10898.0;0-200cc;10k-30k
Joyaa a la venta;$3.000.000;2023.0;16500.0;350.0;https://www.chilemotos.com/moto/66435/;3000000.0;350.0;16500.0;201-500cc;10k-30k
Se vende moto Euromot kd 150cc al día;$1.000.000;2021.0;24000.0;150.0;https://www.chilemotos.com/moto/66361/;1000000.0;150.0;24000.0;0-200cc;10k-30k
