titulo;precio;ano;kilometraje;cilindrada;url
moto bajaj pulsar ns 200;$2.300.000;2023;10002;201;https://www.chilemotos.com/moto/66552/
Por cambio de cilindrada;$3.200.000;2020;38000;400;https://www.chilemotos.com/moto/66547/
Bajaj Dominar 400 2024 Potencia, estilo y confort premium Color Burdeo;$3.100.000;2024;15996;400;https://www.chilemotos.com/moto/66534/
Vendo moto Bajaj Pulsar 160 2025;$2.350.000;2025;5;160;https://www.chilemotos.com/moto/66513/
VENDO MOTO ZONGSHEN RX1;$1.680.000;2021;10898;200;https://www.chilemotos.com/moto/66477/
Joyaa a la venta;$3.000.000;2023;16500;350;https://www.chilemotos.com/moto/66435/
Se vende moto Euromot kd 150cc al día;$1.000.000;2021;24000;150;https://www.chilemotos.com/moto/66361/
VENDO MOTO EQUIPADA POCO USO UNICO DUEÑO DOCUMENTOS AL DIA;$1.650.000;2021;10900;200;https://www.chilemotos.com/moto/66158/
Keeway RK 150 año 2022 – 8.400 km – Excelente estado;$750.000;2022;8400;150;https://www.chilemotos.com/moto/66077/
Vendo Yamaha MT 03;$6.050.000;2023;10500;320;https://www.chilemotos.com/moto/65978/
Yamaha fz 150cc;$2.000.000;2025;670;150;https://www.chilemotos.com/moto/65837/
KTM 390 Adventure Equipada IMPECABLE Servicios realizados en KTM;$6.400.000;2023;12000;390;https://www.chilemotos.com/moto/65800/
Zongshen RX3;$1.800.000;2020;36000;250;https://www.chilemotos.com/moto/65774/
Suzuki inazuma 250;$2.500.000;2013;50000;250;https://www.chilemotos.com/moto/65734/
Vendo honda xr 600;;1992;12500;600;https://www.chilemotos.com/moto/65732/
Moto Suzuki GSX;$1.800.000;2021;59924;150;https://www.chilemotos.com/moto/65726/
Takasaki tk150gy;$700.000;2023;13000;150;https://www.chilemotos.com/moto/65713/
Yamaha xtz 125;$1.350.000;2023;12500;125;https://www.chilemotos.com/moto/65708/
Moto KTM Adventure 390 año 2022;$4.500.000;2022;18999;388;https://www.chilemotos.com/moto/65692/
Moto FZX 150 Neo Retro;$2.000;2025;9500;150;https://www.chilemotos.com/moto/65680/
Vendo Moto;$4;2019;17;250;https://www.chilemotos.com/moto/65669/
Moto Zongshen RX3S;$3.650.000;2023;7600;400;https://www.chilemotos.com/moto/65661/
Venta de Moto casi nueva;$1.700.000;2023;45;150;https://www.chilemotos.com/moto/65639/
Vendo moto Honda por apuro económico;$8.000;2025;3000;109;https://www.chilemotos.com/moto/65621/
moto bacan;$500;2001;500;500;https://www.chilemotos.com/moto/65619/
2022 SUNRA MIKU MAX;$880.000;2022;10;50;https://www.chilemotos.com/moto/65574/
vendo motocicleta deportiva;$2.600.000;2022;10000;150;https://www.chilemotos.com/moto/65566/
Se vende por urgencia;$1.650.000;2022;12900;250;https://www.chilemotos.com/moto/65553/
VENDO;$8.900.000;2016;22997;1.000;https://www.chilemotos.com/moto/65525/
YAMAHA XSR700 2020;$6.800.000;2020;15133;700;https://www.chilemotos.com/moto/65497/
Se vende Yamaha Fzx 150 2025;$2.000.000;2025;9000;150;https://www.chilemotos.com/moto/65485/
